Configuration;Timestamp;LocationProtocol;LocationHostname;LocationPathname;CookieDomain;CookieName;CookieValue;CookieParty;CookiePartyCategory
deeplinks;1449670070924;http;www.nu.nl;"/reizen";.xiti.com;"idrxvr";"76C6DBE7-1E90-40E5-A256-9D6E58A7CFFC";AT Internet;stats
deeplinks;1449670070924;http;www.nu.nl;"/reizen";www.nu.nl;"consentBarViewCount";"1";Sanoma Consent Manager;functional
deeplinks;1449670070924;http;www.nu.nl;"/reizen";.nu.nl;"SanomaWeb";"v76rw7sj8w";Site-own;functional
deeplinks;1449670070924;http;www.nu.nl;"/reizen";.nu.nl;"SanomaWebSession";"bu22o6ljrf";Site-own;functional
deeplinks;1449670070924;http;www.nu.nl;"/reizen";.scorecardresearch.com;"UIDR";"1449670071";ScoreCard Research;stats
deeplinks;1449670070924;http;www.nu.nl;"/reizen";.scorecardresearch.com;"UID";"1DF23a14a90a11122a67d901449670071";ScoreCard Research;stats
deeplinks;1449670070924;http;www.nu.nl;"/reizen";.sanoma.fi;"SanomaWeb";"6932fb22-5df1-4cb4-b4cf-1dc1aedc43e1";Site-own;functional
deeplinks;1449670070924;http;www.nu.nl;"/reizen";.www.nu.nl;"_gat";"1";Google Analytics;stats
deeplinks;1449670070924;http;www.nu.nl;"/reizen";.www.nu.nl;"_ga";"GA1.3.1544957614.1449670071";Google Analytics;stats
deeplinks;1449670076508;http;www.nu.nl;"/wonen-en-interieur";bam.nr-data.net;"JSESSIONID";"1cc3d3f1e9f88f08";New Relic;ads
deeplinks;1449670076508;http;www.nu.nl;"/wonen-en-interieur";.xiti.com;"idrxvr";"5DD62512-95A3-418C-B3A1-CDD2456EECA1";AT Internet;stats
deeplinks;1449670076508;http;www.nu.nl;"/wonen-en-interieur";www.nu.nl;"consentBarViewCount";"1";Sanoma Consent Manager;functional
deeplinks;1449670076508;http;www.nu.nl;"/wonen-en-interieur";.nu.nl;"SanomaWeb";"jdo6e3k9ki";Site-own;functional
deeplinks;1449670076508;http;www.nu.nl;"/wonen-en-interieur";.nu.nl;"SanomaWebSession";"won3xu30zl";Site-own;functional
deeplinks;1449670076508;http;www.nu.nl;"/wonen-en-interieur";.scorecardresearch.com;"UIDR";"1449670076";ScoreCard Research;stats
deeplinks;1449670076508;http;www.nu.nl;"/wonen-en-interieur";.scorecardresearch.com;"UID";"1D123a14a90a11122a6a9171449670076";ScoreCard Research;stats
deeplinks;1449670076508;http;www.nu.nl;"/wonen-en-interieur";.sanoma.fi;"SanomaWeb";"1a725488-db7c-4ffe-a836-1fe8aad2391d";Site-own;functional
deeplinks;1449670076508;http;www.nu.nl;"/wonen-en-interieur";.www.nu.nl;"_gat";"1";Google Analytics;stats
deeplinks;1449670076508;http;www.nu.nl;"/wonen-en-interieur";.www.nu.nl;"_ga";"GA1.3.829882224.1449670077";Google Analytics;stats
